Acid,Amine,Product Name,Product Smiles,Coupling Reagent,Base,Condition,Average QC Conversion,SM Corrected ADP-Glo Inhibition,Pool,Lowest ALIS Enzyme Concentration,HBD,HBA,Charge,PSA,LogP,Fsp3,tsne_x,tsne_y,label
"3,4-difluorobenzoic acid",Relay-FFS-493-6,"3,4-difluorobenzoic acid-Relay-FFS-493-6",C[C@H]1CC[C@H](C)N1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(F)c(F)c3)n[nH]2)C1,HATU,DIPEA,A,93.71418909,106.3202305,24,0.1,2,4,0,87.32,4.5857,0.5,-69.15978,-10.648066,
"2,4-difluorobenzoic acid",Relay-FFS-493-6,"2,4-difluorobenzoic acid-Relay-FFS-493-6",C[C@H]1CC[C@H](C)N1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(F)cc3F)n[nH]2)C1,HATU,DIPEA,A,92.27144057,101.3620172,29,0.05,2,4,0,87.32,4.5857,0.5,-68.442795,-10.82309,S4
2-(4-(methylthio)phenyl)acetic acid,Relay-FFS-493-3,2-(4-(methylthio)phenyl)acetic acid-Relay-FFS-493-3,CSc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N(C)C(C)C)C3)[nH]n2)cc1,HATU,DIPEA,A,87.53456122,107.2752881,21,0.1,2,5,0,87.32,4.4257,0.5,-58.120037,-6.751471,
2-(4-(methylthio)phenyl)acetic acid,Relay-FFS-493-5,2-(4-(methylthio)phenyl)acetic acid-Relay-FFS-493-5,CSc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cc1,HATU,DIPEA,A,62,106,13,0.1,2,5,0,87.32,4.5698,0.52173913,-58.09024,-6.9797006,
2-(4-(methylthio)phenyl)acetic acid,Relay-FFS-493-6,2-(4-(methylthio)phenyl)acetic acid-Relay-FFS-493-6,CSc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4[C@@H](C)CC[C@@H]4C)C3)[nH]n2)cc1,HATU,DIPEA,A,90.80037968,109.7331367,16,0.05,2,5,0,87.32,4.9583,0.541666667,-57.850204,-7.465235,
2-(3-chlorophenyl)acetic acid,Relay-FFS-493-6,2-(3-chlorophenyl)acetic acid-Relay-FFS-493-6,C[C@H]1CC[C@H](C)N1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3cccc(Cl)c3)n[nH]2)C1,HATU,DIPEA,A,52.26366651,96.15932509,8,0.1,2,4,0,87.32,4.8898,0.52173913,-56.87116,-25.547401,
2-(4-chlorophenyl)acetic acid,Relay-FFS-493-3,2-(4-chlorophenyl)acetic acid-Relay-FFS-493-3,CC(C)N(C)C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(Cl)cc3)n[nH]2)C1,HATU,DIPEA,A,82.70512825,103.293118,21,0.1,2,4,0,87.32,4.3572,0.476190476,-55.683258,7.9770207,
benzoic acid,Relay-FFS-493-6,benzoic acid-Relay-FFS-493-6,C[C@H]1CC[C@H](C)N1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccccc3)n[nH]2)C1,HATU,DIPEA,A,97.97099509,98.51090178,23,0.1,2,4,0,87.32,4.3075,0.5,-55.013943,9.994458,
"2,4-difluorobenzoic acid",Relay-FFS-493-5,"2,4-difluorobenzoic acid-Relay-FFS-493-5",CC1(C)CCN1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(F)cc3F)n[nH]2)C1,HATU,DIPEA,A,89.41855039,100.4897928,27,0.1,2,4,0,87.32,4.1972,0.476190476,-54.96968,27.03615,
2-(p-tolyl)acetic acid,Relay-FFS-493-5,2-(p-tolyl)acetic acid-Relay-FFS-493-5,Cc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cc1,HATU,DIPEA,A,57.41790884,104.9181479,8,0.1,2,4,0,87.32,4.15632,0.52173913,-52.47156,31.260471,
