Compound,ADP-Glo Inhibition (%),ALIS Lowest Enzyme Conc (uM),QC Av Conversion (%)
2-(6-(trifluoromethyl)pyridin-3-yl)acetic acid-Relay-FFS-493-4,42,BT,5
"2-(4-methyl-1H-1,2,3-triazol-1-yl)acetic acid-Relay-FFS-493-1",47,BT,5
2-(1H-tetrazol-1-yl)acetic acid-Relay-FFS-493-2,-1,BT,3
2-(6-(trifluoromethyl)pyridin-3-yl)acetic acid-Relay-FFS-493-5,64,BT,3
2-(6-(trifluoromethyl)pyridin-3-yl)acetic acid-Relay-FFS-493-1,78,BT,5
"2-(4-methyl-1H-1,2,3-triazol-1-yl)acetic acid-Relay-FFS-493-6",42,BT,5
"2-(4-methyl-1H-1,2,3-triazol-1-yl)acetic acid-Relay-FFS-493-2",20,BT,20
2-(isoxazol-3-yl)acetic acid-Relay-FFS-493-2,34,BT,6
2-(isoxazol-3-yl)acetic acid-Relay-FFS-493-3,32,BT,33
benzoylglycine-Relay-FFS-493-1,64,BT,49
4-(trifluoromethyl)benzoic acid-Relay-FFS-493-5,80,BT,53
2-(3-fluorophenyl)acetic acid-Relay-FFS-493-3,9,BT,33
2-(trifluoromethyl)benzoic acid-Relay-FFS-493-3,29,BT,55
2-(2-methoxyphenyl)acetic acid-Relay-FFS-493-6,94,BT,68
4-cyclohexylbenzoic acid-Relay-FFS-493-6,48,BT,100
4-cyclohexylbenzoic acid-Relay-FFS-493-5,51,BT,90
adamantane-1-carboxylic acid-Relay-FFS-493-1,36,BT,100
pivalic acid-Relay-FFS-493-3,86,BT,99
2-(2-(ethylsulfonyl)phenyl)acetic acid-Relay-FFS-493-1,28,NB,4
2-(6-(trifluoromethyl)pyridin-3-yl)acetic acid-Relay-FFS-493-2,54,NB,2
"2-(3,5-difluorophenyl)acetic acid-Relay-FFS-493-1",76,NB,3
(S)-indoline-2-carboxylic acid-Relay-FFS-493-1,43,NB,12
2-(isoxazol-3-yl)acetic acid-Relay-FFS-493-4,50,NB,5
